,subject,condition,billboard,viewing_status,fixated,glanced,recalled,recognized
279,sub011,Free_Viewing,moving_business,passed_first_fixated,1,1,0,0
280,sub011,Free_Viewing,HIV,passed_first_fixated,1,1,0,0
281,sub011,Free_Viewing,texting_driving,passed_first_fixated,1,1,0,0
282,sub011,Free_Viewing,carpet_cleaning,passed_first_fixated,1,1,1,1
283,sub011,Free_Viewing,great_lakes,passed_first_fixated,1,1,1,1
284,sub011,Free_Viewing,lawyer,passed_first_fixated,1,1,0,0
285,sub011,Free_Viewing,handwashing,passed_first_fixated,1,1,0,0
286,sub011,Free_Viewing,museum,passed_first_fixated,1,1,0,0
287,sub011,Free_Viewing,polar_bear,passed_first_fixated,1,1,1,1
288,sub011,Free_Viewing,diabetes_awareness,passed_first_fixated,1,1,0,0
289,sub011,Free_Viewing,cosmetics,passed_incept_fixated,1,1,1,1
290,sub011,Free_Viewing,car_insurance,passed_incept_fixated,1,1,0,0
291,sub011,Free_Viewing,caffeine_consumption,passed_incept_fixated,1,1,0,0
292,sub011,Free_Viewing,grocery_store,passed_incept_fixated,1,1,0,0
293,sub011,Free_Viewing,binge_drinking,passed_incept_fixated,1,1,0,0
294,sub011,Free_Viewing,healthy_diet,passed_first_notfixated_forgone,0,0,0,0
295,sub011,Free_Viewing,travel_agency,passed_first_notfixated_forgone,0,0,0,0
296,sub011,Free_Viewing,smartphone,passed_first_notfixated_forgone,0,0,0,0
297,sub012,Count_trash_bins,texting_driving,passed_first_fixated,1,1,0,0
298,sub012,Count_trash_bins,fundraising,passed_first_fixated,1,1,0,0
299,sub012,Count_trash_bins,pottery_class,passed_first_fixated,1,1,0,0
300,sub012,Count_trash_bins,car_insurance,passed_first_fixated,1,1,0,0
301,sub012,Count_trash_bins,burger,passed_first_fixated,1,1,1,1
302,sub012,Count_trash_bins,furniture,passed_incept_fixated,1,1,0,0
303,sub012,Count_trash_bins,smoking_cessation,passed_incept_fixated,1,1,1,1
304,sub012,Count_trash_bins,moving_business,passed_incept_notfixated_forgone,0,0,0,0
305,sub012,Count_trash_bins,diabetes_awareness,passed_incept_notfixated_forgone,0,0,0,0
306,sub012,Count_trash_bins,employee_wellness,passed_incept_notfixated_forgone,0,1,0,0
307,sub012,Count_trash_bins,clothes_sale,passed_incept_notfixated_forgone,0,0,0,0
308,sub012,Count_trash_bins,jogging_physical_activity,passed_first_notfixated_forgone,0,0,0,0
309,sub012,Count_trash_bins,caffeine_consumption,passed_first_notfixated_forgone,0,0,0,0
310,sub012,Count_trash_bins,buckle_up,passed_first_notfixated_forgone,0,1,0,1
311,sub012,Count_trash_bins,drug_abuse,passed_first_notfixated_forgone,0,0,0,0
312,sub012,Count_trash_bins,carpet_cleaning,passed_first_notfixated_forgone,0,0,0,0
313,sub012,Count_trash_bins,lawyer,passed_first_notfixated_forgone,0,0,0,0
314,sub013,Free_Viewing,sun_skin_protection,passed_incept_fixated,1,1,0,1
315,sub013,Free_Viewing,regular_doctor_visits,passed_incept_notfixated_forgone,0,1,0,0
316,sub013,Free_Viewing,smartphone,passed_incept_notfixated_forgone,0,1,0,0
317,sub013,Free_Viewing,clothes_sale,passed_incept_notfixated_forgone,0,1,0,0
318,sub013,Free_Viewing,binge_drinking,passed_incept_notfixated_forgone,0,0,0,0
319,sub013,Free_Viewing,lawyer,passed_incept_notfixated_forgone,0,1,0,0
320,sub013,Free_Viewing,hotel,passed_first_notfixated_forgone,0,0,0,0
321,sub013,Free_Viewing,carpet_cleaning,passed_first_notfixated_forgone,0,0,0,0
322,sub013,Free_Viewing,mental_health,passed_first_notfixated_forgone,0,0,0,0
323,sub013,Free_Viewing,cosmetics,passed_first_notfixated_forgone,0,0,0,0
324,sub013,Free_Viewing,pottery_class,passed_first_notfixated_forgone,0,1,0,0
325,sub013,Free_Viewing,jogging_physical_activity,passed_first_notfixated_forgone,0,0,0,0
326,sub013,Free_Viewing,drug_abuse,passed_first_notfixated_forgone,0,0,0,0
327,sub013,Free_Viewing,healthy_diet,passed_first_notfixated_forgone,0,0,0,0
328,sub013,Free_Viewing,coffee,passed_first_notfixated_forgone,0,0,0,0
329,sub013,Free_Viewing,museum,passed_first_notfixated_forgone,0,0,0,0
330,sub013,Free_Viewing,pizza,passed_first_notfixated_forgone,0,0,0,0
331,sub013,Free_Viewing,HIV,passed_first_notfixated_forgone,0,0,0,0
332,sub013,Free_Viewing,recycling,passed_first_notfixated_forgone,0,0,0,0
333,sub014,Count_trash_bins,furniture,passed_incept_fixated,1,1,0,0
334,sub014,Count_trash_bins,healthy_sleep,passed_incept_notfixated_forgone,0,1,0,0
335,sub014,Count_trash_bins,clothes_sale,passed_incept_notfixated_forgone,0,0,0,0
336,sub014,Count_trash_bins,HIV,passed_incept_notfixated_forgone,0,0,0,0
337,sub014,Count_trash_bins,pet_store,passed_incept_notfixated_forgone,0,0,0,0
338,sub014,Count_trash_bins,employee_wellness,passed_incept_notfixated_forgone,0,1,0,0
339,sub014,Count_trash_bins,carpet_cleaning,passed_incept_notfixated_forgone,0,1,0,0
340,sub014,Count_trash_bins,healthy_diet,passed_incept_notfixated_forgone,0,1,0,0
341,sub014,Count_trash_bins,vaccination,passed_first_notfixated_forgone,0,0,0,0
342,sub014,Count_trash_bins,smartphone,passed_first_notfixated_forgone,0,1,0,0
